2026-07-22T10:38:28.814050800 | LOGIN: LOGIN_OK 1149
2026-07-22T10:38:44.638272300 | ROOM: JOIN_FAILED room not found
2026-07-22T10:38:57.750680500 | ROOM: ROOM_CREATED VUE4MC
2026-07-22T10:38:57.751674100 | MATCH: ROLE WHITE
2026-07-22T10:39:17.502804 | LOGIN: LOGIN_OK 1202
2026-07-22T10:39:30.799543700 | ROOM: JOIN_FAILED room not found
2026-07-22T10:39:40.431309600 | ROOM: JOIN_FAILED room not found
2026-07-22T10:39:46.215473700 | ROOM: ROOM_CANCELLED
2026-07-22T10:40:14.010419400 | LOGIN: LOGIN_OK 1149
2026-07-22T10:40:27.620207200 | ROOM: ROOM_CREATED HJZ9UJ
2026-07-22T10:40:27.620207200 | MATCH: ROLE WHITE
2026-07-22T10:41:09.469414 | MOVE: MOVE 6,1 4,1
2026-07-22T10:41:24.840022900 | LOGIN: LOGIN_OK 1202
2026-07-22T10:41:54.117681600 | ROOM: JOIN_FAILED room not found
2026-07-22T10:42:04.062235800 | ROOM: ROOM_CANCELLED
2026-07-22T10:42:11.161936800 | ROOM: JOIN_FAILED room not found
2026-07-22T10:46:24.773497600 | MOVE: MOVE 6,2 4,2
2026-07-22T10:46:30.448602300 | MOVE: MOVE 6,3 4,3
2026-07-22T10:46:33.975736 | MOVE: MOVE 6,4 4,4
2026-07-22T10:46:41.106900500 | MOVE: MOVE 7,4 5,2
2026-07-22T10:46:54.275646300 | MOVE: MOVE 7,5 5,3
2026-07-22T10:47:07.270558100 | MOVE: MOVE 7,2 2,7
2026-07-22T10:47:07.542176800 | MOVE: MOVE 6,0 4,0
2026-07-22T10:47:15.186422200 | MOVE: MOVE 7,0 5,0
2026-07-22T10:47:33.069691800 | MOVE: MOVE 7,6 5,5
2026-07-22T10:47:36.851495400 | MOVE: MOVE 6,7 4,7
2026-07-22T10:47:37.735413300 | MOVE: MOVE 7,3 6,3
2026-07-22T10:47:45.047372200 | MOVE: MOVE 7,7 5,7
2026-07-22T10:47:47.285917800 | MOVE: MOVE 5,5 3,6
2026-07-22T10:47:47.428104800 | MOVE: MOVE 4,4 3,4
2026-07-22T10:47:48.727375500 | MOVE: MOVE 4,3 3,3
2026-07-22T10:47:49.891719500 | MOVE: MOVE 4,2 3,2
2026-07-22T10:47:51.971080700 | MOVE: MOVE 4,1 3,1
2026-07-22T10:47:53.460927400 | MOVE: MOVE 5,0 5,1
2026-07-22T10:47:54.771588400 | MOVE: MOVE 5,2 4,3
2026-07-22T10:47:59.109758200 | MOVE: MOVE 5,7 5,6
2026-07-22T10:48:00.221379300 | MOVE: MOVE 5,3 1,7
2026-07-22T10:48:01.379860900 | MOVE: MOVE 6,5 4,5
2026-07-22T10:48:02.183346700 | MOVE: MOVE 6,3 5,4
2026-07-22T10:48:03.995993600 | MOVE: MOVE 5,1 4,1
2026-07-22T10:48:05.333520900 | MOVE: MOVE 3,2 2,2
2026-07-22T10:48:10.774369200 | MOVE: MOVE 4,3 2,1
2026-07-22T10:48:11.645389600 | MOVE: MOVE 3,3 2,3
